Timestamp,First,Last,Best Picture (1),Leading Actress (3),Leading Actor,Supporting Actress,Supporting Actor (4),Directing,Production Design,Film Editing,Sound,Original Score,International Feature,Adapted Screenplay,Cinematography,Animated Short,Costume Design (6),Documentary Feature (5),Visual Effects,Animated Feature (2),Time,EMail
,,,American Fiction,Bening,Cooper,Blunt,Brown,Anatomy of a Fall,Barbie,Anatomy of a Fall,Creator,American Fiction,Io Capitano,American Fiction,El Conde,Letter to a Pig,Barbie,Bobi Wine,Creator,Boy and the Heron,,
,,,Anatomy of a Fall,Gladstone,Domingo,Brooks,De Niro,Killers/Flower Moon,Killers/Flower Moon,Holdovers,Maestro,Indiana Jones 5,Perfect Days,Barbie,Killers/Flower Moon,Ninety-Five Senses,Killers/Flower Moon,Eternal Memory,Gozilla - 1,Elemental,,
,,,Barbie,Hüller,Giamatti,Ferrera,Downey,Oppenheimer,Napoleon,Killers/Flower Moon,Mission: Impossible 7,Killers/Flower Moon,Society of the Snow,Oppenheimer,Maestro,Our Uniform,Napoleon,Four Daughters,Guardians/Galaxy 3,Nimona,,
,,,Holdovers,Mulligan,Murphy,Foster,Gosling,Poor Things,Oppenheimer,Oppenheimer,Oppenheimer,Oppenheimer,Teachers' Lounge,Poor Things,Oppenheimer,Pachyderme,Oppenheimer,To Kill a Tiger,Mission: Impossible 7,Robot Dreams,,
,,,Killers/Flower Moon,Stone,Wright,Randolph,Ruffalo,Zone of Interest,Poor Things,Poor Things,Zone of Interest,Poor Things,Zone of Interest,Zone of Interest,Poor Things,WAR IS OVER!,Poor Things,20 Days in Mariupol,Napoleon,Spider-Man: Across,,
,,,Maestro,,,,,,,,,,,,,,,,,,,
,,,Oppenheimer,,,,,,,,,,,,,,,,,,,
,,,Past Lives,,,,,,,,,,,,,,,,,,,
,,,Poor Things,,,,,,,,,,,,,,,,,,,
,,,Zone of Interest,,,,,,,,,,,,,,,,,,,
